編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVOMLMLLHMFFAA77CA,2,39.12,見其他登記事項,鋼骨鋼筋混凝土造,104年4月27日,033,
RPVOMLMLLHMFFAA77CA,2,15.25,見其他登記事項,鋼骨鋼筋混凝土造,104年4月27日,033,
RPVOMLMLLHMFFAA77CA,2,49.40,見其他登記事項,鋼骨鋼筋混凝土造,104年4月27日,033,
RPVOMLMLLHMFFAA77CA,2,28.11,見其他登記事項,鋼骨鋼筋混凝土造,104年4月27日,033,
RPVOMLMLLHMFFAA77CA,2,3.96,見其他登記事項,鋼骨鋼筋混凝土造,104年4月27日,033,
RPXOMLMLLHMFFAA97CA,2,169.58,住家用,鋼骨鋼筋混凝土造,104年4月27日,033,十六層
RPXOMLMLLHMFFAA97CA,2,3.96,見其他登記事項,鋼骨鋼筋混凝土造,104年4月27日,033,
RPXOMLMLLHMFFAA97CA,2,19.64,見其他登記事項,鋼骨鋼筋混凝土造,104年4月27日,033,
RPXOMLMLLHMFFAA97CA,2,51.78,見其他登記事項,鋼骨鋼筋混凝土造,104年4月27日,033,
RPXOMLMLLHMFFAA97CA,2,43.29,見其他登記事項,鋼骨鋼筋混凝土造,104年4月27日,033,
RPXOMLMLLHMFFAA97CA,2,2.39,見其他登記事項,鋼骨鋼筋混凝土造,104年4月27日,033,
RPXOMLMLLHMFFAA97CA,2,28.11,見其他登記事項,鋼骨鋼筋混凝土造,104年4月27日,033,
RPPNMLNLKHMFFBA17CA,39,96.19,商業用,鋼筋混凝土造,66年7月12日,005,三層
RPSNMLNLKHMFFBA47CA,,66.70,工業用,鋼筋混凝土造,,004,一層 騎樓
RPUNMLNLKHMFFBA67CA,11,46.43,共有部分,鋼筋混凝土造,95年1月26日,011,
RPQNMLOLKHMFFAA27CA,21,96.95,住家用,鋼筋混凝土造,84年7月25日,012,四層 電梯樓梯間
RPQNMLOLKHMFFAA27CA,21,3.13,見使用執照,鋼筋混凝土造,84年7月25日,012,
RPQNMLOLKHMFFAA27CA,21,7.35,見使用執照,鋼筋混凝土造,84年7月25日,012,
RPVOMLNLKHMFFAA77CA,,81.75,住家用,鋼筋混凝土造,,005,三層
RPPNMLRKLHMFFAA47CA,,121.78,住家用,鋼筋混凝土造,,005,五層
RPWNMLKLLHMFFAA57CA,12,27.40,住家用,鋼筋混凝土造,93年11月5日,013,五層
RPWNMLKLLHMFFAA57CA,12,.30,共有部分,鋼筋混凝土造,93年11月5日,013,
RPWNMLKLLHMFFAA57CA,12,10.82,共有部分,鋼筋混凝土造,93年11月5日,013,
RPWNMLKLLHMFFAA57CA,12,42.34,共有部分,鋼筋混凝土造,93年11月5日,013,
RPOOMLPKLHMFFAA27CA,,46.39,見其他登記事項,鋼筋混凝土造,105年10月21日,011,五層
RPOOMLPKLHMFFAA27CA,,31.28,見其他登記事項,鋼筋混凝土造,105年10月21日,011,
RPROMLKLLHMFFAA17CA,,55.57,見其他登記事項,鋼筋混凝土造,105年10月21日,011,三層
RPROMLKLLHMFFAA17CA,,37.43,見其他登記事項,鋼筋混凝土造,105年10月21日,011,
RPROMLKLLHMFFAA17CA,,12.81,見其他登記事項,鋼筋混凝土造,105年10月21日,011,
RPRNMLQJLHMFFAA47CA,6,140.49,住家用,鋼筋混凝土造,100年7月13日,018,十二層
RPRNMLQJLHMFFAA47CA,6,32.16,見其他登記事項,鋼筋混凝土造,100年7月13日,018,
RPRNMLQJLHMFFAA47CA,6,3.75,見其他登記事項,鋼筋混凝土造,100年7月13日,018,
RPRNMLQJLHMFFAA47CA,6,59.64,見其他登記事項,鋼筋混凝土造,100年7月13日,018,
RPRNMLQJLHMFFAA47CA,6,23.96,見其他登記事項,鋼筋混凝土造,100年7月13日,018,
RPWOMLMJLHMFFAA67CA,,104.49,,鋼筋混凝土造,,005,三層
RPVNMLPKLHMFFAA87CA,,46.47,見其他登記事項,鋼筋混凝土造,105年10月21日,011,三層
RPVNMLPKLHMFFAA87CA,,31.41,見其他登記事項,鋼筋混凝土造,105年10月21日,011,
RPQNMLRKLHMFFCA77CA,2,.50,見其他登記事項,鋼筋混凝土造,103年9月26日,010,一層
RPQNMLRKLHMFFCA77CA,2,10.72,見其他登記事項,鋼筋混凝土造,103年9月26日,010,
RPQNMLRKLHMFFCA77CA,2,.27,見其他登記事項,鋼筋混凝土造,103年9月26日,010,
RPSPMLNLKHMFFCA77CA,35,120.71,住家用,鋼筋混凝土造,70年12月31日,007,一層
RPSPMLNLKHMFFCA77CA,35,6.88,共有部分,鋼筋混凝土造,70年12月31日,007,
RPQNMLNLKHMFFCA37CA,22,78.62,住家用,鋼筋混凝土造,84年3月30日,012,十層
RPQNMLNLKHMFFCA37CA,22,5.64,共有部分,鋼筋混凝土造,84年3月30日,012,
RPQNMLNLKHMFFCA37CA,22,16.67,見使用執照,鋼筋混凝土造,84年3月30日,012,地下層
RPSQMLSJLHMFFEA58DA,31,111.01,住家用,鋼筋混凝土造,74年8月13日,007,四層
RPSQMLSJLHMFFEA58DA,31,16.94,共有部分,鋼筋混凝土造,74年8月13日,007,
RPPOMLMJLHMFFEA47DA,38,95.73,住家用,鋼筋混凝土造,68年2月14日,005,四層
RPXNMLNLKHMFFEA38DA,33,70.52,住家用,鋼筋混凝土造,73年4月11日,005,二層
RPOPMLNLKHMFFEA67DA,39,83.20,住家用,鋼筋混凝土造,67年1月31日,005,二層
RPPPMLNLKHMFFEA77DA,17,28.67,住家用,鋼筋混凝土造,88年10月14日,006,三層
RPPPMLNLKHMFFEA77DA,17,9.42,共有部分,鋼筋混凝土造,88年10月14日,006,
RPPPMLNLKHMFFEA77DA,17,.92,共有部分,鋼筋混凝土造,88年10月14日,006,
RPSOMLMLKHMFFEA87DA,45,23.72,住家用,鋼筋混凝土造,60年12月31日,004,三層
RPSNMLNLKHMFFEA87DA,37,123.45,住家用,鋼筋混凝土造,69年2月22日,005,三層
RPPPMLNJLHMFFDA57DA,9,30.33,住家用,鋼筋混凝土造,97年2月5日,014,十二層
RPPPMLNJLHMFFDA57DA,9,14.95,共有部分,鋼筋混凝土造,97年2月5日,014,
RPRNMLMJLHMFFDA47DA,55,129.60,住家用,加強磚造,51年2月1日,003,一層 二層 三層
RPTOMLSJLHMFFDA38DA,31,213.03,商業用,鋼筋混凝土造,74年10月29日,016,五層
RPTOMLSJLHMFFDA38DA,31,72.34,共有部分,鋼筋混凝土造,74年10月29日,016,
RPTOMLSJLHMFFDA38DA,31,35.88,見使用執照,鋼筋混凝土造,74年10月29日,016,地下一層
