timestamp,gym,gym_cap,pool,pool_cap,pool_temp
2017-04-19T20:34:01.878272+08:00,97,120,83,300,29
2017-04-19T20:35:02.799747+08:00,97,120,81,300,29
2017-04-19T20:36:02.091307+08:00,98,120,83,300,29
2017-04-19T20:37:02.443290+08:00,99,120,85,300,29
2017-04-19T20:38:02.689970+08:00,97,120,87,300,29
2017-04-19T20:39:02.033111+08:00,97,120,86,300,29
2017-04-19T20:40:02.368645+08:00,97,120,87,300,29
2017-04-19T20:41:02.596419+08:00,96,120,88,300,29
2017-04-19T20:42:01.845041+08:00,99,120,88,300,29
2017-04-19T20:43:02.031237+08:00,99,120,88,300,29
2017-04-19T20:44:02.355632+08:00,98,120,87,300,29
2017-04-19T20:45:02.796853+08:00,102,120,88,300,29
2017-04-19T20:46:02.020968+08:00,100,120,89,300,29
2017-04-19T20:47:02.357770+08:00,100,120,92,300,29
2017-04-19T20:48:02.706314+08:00,101,120,92,300,29
2017-04-19T20:49:02.034561+08:00,102,120,90,300,29
2017-04-19T20:50:02.377445+08:00,103,120,90,300,29
2017-04-19T20:51:02.623625+08:00,103,120,89,300,29
2017-04-19T20:52:02.020659+08:00,102,120,86,300,29
2017-04-19T20:53:02.447203+08:00,103,120,86,300,29
2017-04-19T20:54:02.779854+08:00,104,120,84,300,29
2017-04-19T20:55:02.093127+08:00,104,120,84,300,29
2017-04-19T20:56:02.347027+08:00,103,120,84,300,29
2017-04-19T20:57:02.674687+08:00,102,120,86,300,29
2017-04-19T20:58:01.981719+08:00,108,120,86,300,29
2017-04-19T20:59:02.161188+08:00,106,120,83,300,29
2017-04-19T21:00:02.407232+08:00,108,120,82,300,29
2017-04-19T21:01:02.699704+08:00,105,120,81,300,29
2017-04-19T21:02:01.943178+08:00,107,120,80,300,29
2017-04-19T21:03:02.361672+08:00,105,120,76,300,29
2017-04-19T21:04:02.610625+08:00,105,120,75,300,29
2017-04-19T21:05:01.849701+08:00,106,120,75,300,29
2017-04-19T21:06:02.151677+08:00,102,120,70,300,29
2017-04-19T21:07:02.595298+08:00,103,120,69,300,29
2017-04-19T21:08:01.990038+08:00,102,120,70,300,29
2017-04-19T21:09:02.367066+08:00,100,120,71,300,29
2017-04-19T21:10:02.715872+08:00,98,120,71,300,29
2017-04-19T21:11:02.044257+08:00,98,120,70,300,29
2017-04-19T21:12:02.480067+08:00,97,120,68,300,29
2017-04-19T21:13:02.906130+08:00,94,120,66,300,29
2017-04-19T21:14:02.212182+08:00,91,120,66,300,29
2017-04-19T21:15:02.631783+08:00,89,120,66,300,29
2017-04-19T21:16:01.988239+08:00,89,120,66,300,29
2017-04-19T21:17:02.254370+08:00,89,120,63,300,29
2017-04-19T21:18:02.561981+08:00,86,120,63,300,29
2017-04-19T21:19:02.752511+08:00,85,120,61,300,29
2017-04-19T21:20:02.246535+08:00,82,120,60,300,29
